X_h	M_min	N_ion	R_mfp
0.874	675.26	38.95	33.4
0.525	508.95	171.58	8.04
0.536	675.26	143.16	31.1
0.629	675.26	124.21	12.65
0.491	342.63	95.79	12.65
0.915	758.42	29.47	19.57
0.298	550.53	171.58	40.32
0.858	176.32	67.37	1.12
0.672	758.42	114.74	38.01
0.007	10.0	57.89	12.65
0.257	217.89	181.05	8.04
0.245	467.37	190.53	21.87
0.391	301.05	152.63	8.04
0.65	592.11	95.79	40.32
0.348	592.11	181.05	26.48
0.0	93.16	181.05	24.18
0.011	93.16	133.68	19.57
0.785	675.26	67.37	12.65
0.67	716.84	114.74	12.65
0.172	467.37	190.53	31.1
0.844	425.79	38.95	3.43
0.247	342.63	124.21	33.4
0.652	592.11	95.79	19.57
0.916	508.95	20.0	35.71
0.837	217.89	20.0	38.01
0.288	93.16	48.42	26.48
0.721	176.32	29.47	19.57
0.052	51.58	143.16	8.04
0.108	176.32	105.26	24.18
0.843	384.21	29.47	24.18
0.266	217.89	95.79	19.57
0.018	134.74	143.16	21.87
0.874	675.26	38.95	28.79
0.294	259.47	190.53	8.04
0.0	51.58	114.74	38.01
0.0	93.16	181.05	28.79
0.738	633.68	76.84	21.87
0.742	93.16	152.63	1.12
0.377	134.74	190.53	3.43
0.843	800.0	57.89	12.65
0.567	675.26	152.63	12.65
0.0	51.58	200.0	40.32
0.711	425.79	143.16	3.43
0.229	134.74	86.32	12.65
0.817	800.0	67.37	14.96
0.498	176.32	133.68	3.43
0.02	176.32	200.0	19.57
0.967	675.26	152.63	1.12
0.811	550.53	48.42	14.96
0.856	259.47	20.0	33.4
0.782	93.16	48.42	1.12
0.931	384.21	190.53	1.12
0.833	675.26	57.89	5.73
0.096	259.47	143.16	26.48
0.919	800.0	29.47	14.96
0.506	675.26	152.63	28.79
0.866	633.68	38.95	19.57
0.092	10.0	86.32	3.43
0.151	10.0	57.89	3.43
0.603	758.42	143.16	17.26
0.0	93.16	152.63	33.4
0.546	508.95	114.74	14.96
0.922	550.53	20.0	31.1
0.283	259.47	200.0	8.04
0.0	10.0	171.58	12.65
0.812	176.32	20.0	35.71
0.746	384.21	48.42	10.34
0.215	301.05	124.21	26.48
0.705	633.68	86.32	38.01
0.566	301.05	67.37	17.26
0.266	342.63	181.05	12.65
0.645	758.42	133.68	12.65
0.008	217.89	190.53	28.79
0.91	716.84	29.47	26.48
0.6	217.89	95.79	3.43
0.797	508.95	48.42	14.96
0.047	217.89	133.68	31.1
0.358	10.0	105.26	1.12
0.018	217.89	190.53	24.18
0.033	51.58	181.05	8.04
0.543	592.11	124.21	38.01
0.641	342.63	171.58	3.43
0.924	342.63	105.26	1.12
0.873	217.89	171.58	1.12
0.076	51.58	57.89	19.57
0.175	384.21	200.0	19.57
0.0	134.74	143.16	40.32
0.774	550.53	57.89	40.32
0.922	550.53	20.0	19.57
0.0	176.32	190.53	40.32
0.194	93.16	67.37	14.96
0.424	550.53	143.16	40.32
0.0	51.58	114.74	35.71
0.086	342.63	200.0	24.18
0.358	592.11	181.05	24.18
0.591	800.0	190.53	10.34
0.902	425.79	20.0	12.65
0.922	550.53	20.0	35.71
0.81	425.79	38.95	10.34
0.692	384.21	57.89	24.18
0.535	425.79	95.79	19.57
0.366	217.89	162.11	5.73
0.807	758.42	67.37	33.4
0.778	342.63	38.95	8.04
0.874	217.89	152.63	1.12
0.202	384.21	200.0	17.26
0.001	10.0	124.21	10.34
0.64	384.21	67.37	38.01
0.062	51.58	95.79	10.34
0.727	758.42	95.79	19.57
0.3	301.05	143.16	12.65
0.902	425.79	20.0	38.01
0.564	134.74	38.95	12.65
0.001	176.32	200.0	28.79
0.001	51.58	143.16	19.57
0.919	800.0	29.47	28.79
0.724	800.0	124.21	8.04
0.66	342.63	57.89	28.79
0.71	716.84	95.79	28.79
0.168	467.37	181.05	38.01
0.392	425.79	143.16	14.96
0.627	342.63	86.32	5.73
0.243	134.74	76.84	14.96
0.758	93.16	86.32	1.12
0.7	758.42	105.26	19.57
0.684	633.68	95.79	12.65
0.76	633.68	76.84	8.04
0.79	592.11	133.68	3.43
0.856	259.47	20.0	31.1
0.248	425.79	181.05	19.57
0.313	467.37	181.05	17.26
0.894	384.21	20.0	24.18
0.133	51.58	114.74	5.73
0.0	134.74	162.11	38.01
0.0	10.0	124.21	31.1
0.653	467.37	76.84	33.4
0.926	342.63	76.84	1.12
0.449	93.16	38.95	17.26
0.631	800.0	162.11	10.34
0.599	508.95	171.58	5.73
0.248	301.05	114.74	28.79
0.691	758.42	200.0	5.73
0.0	10.0	200.0	28.79
0.749	301.05	38.95	12.65
0.544	633.68	152.63	12.65
0.626	758.42	133.68	17.26
0.221	301.05	114.74	35.71
0.367	259.47	86.32	24.18
0.844	675.26	48.42	19.57
0.474	592.11	162.11	14.96
0.837	217.89	20.0	28.79
0.538	675.26	143.16	26.48
0.013	93.16	86.32	31.1
0.43	675.26	190.53	19.57
0.797	716.84	67.37	12.65
0.094	93.16	67.37	26.48
0.915	758.42	29.47	31.1
0.0	134.74	190.53	26.48
0.783	675.26	67.37	19.57
0.504	633.68	143.16	38.01
0.0	10.0	57.89	33.4
0.5	425.79	114.74	12.65
0.599	675.26	124.21	33.4
0.868	800.0	48.42	21.87
0.776	134.74	20.0	24.18
0.561	758.42	152.63	35.71
0.356	550.53	162.11	31.1
0.727	758.42	95.79	21.87
0.292	301.05	114.74	21.87
0.782	467.37	48.42	35.71
0.369	508.95	171.58	17.26
0.916	508.95	20.0	10.34
0.696	467.37	67.37	35.71
0.232	259.47	152.63	12.65
0.945	800.0	20.0	8.04
0.003	51.58	162.11	14.96
0.884	342.63	20.0	5.73
0.003	51.58	114.74	19.57
0.0	10.0	114.74	12.65
0.782	467.37	48.42	31.1
0.824	467.37	38.95	10.34
0.475	716.84	171.58	28.79
0.131	176.32	86.32	38.01
0.005	176.32	171.58	28.79
0.469	592.11	143.16	33.4
0.755	592.11	67.37	26.48
0.887	758.42	38.95	21.87
0.338	259.47	86.32	40.32
0.814	508.95	48.42	5.73
0.861	758.42	48.42	10.34
0.923	342.63	133.68	1.12
0.167	342.63	152.63	26.48
0.803	134.74	171.58	1.12
0.0	93.16	200.0	40.32
0.494	508.95	124.21	19.57
0.572	301.05	95.79	5.73
0.727	176.32	29.47	8.04
0.265	384.21	133.68	33.4
0.681	384.21	152.63	3.43
0.716	425.79	57.89	26.48
0.351	301.05	105.26	19.57
0.11	425.79	181.05	40.32
0.048	259.47	181.05	24.18
0.902	425.79	20.0	14.96
0.141	342.63	162.11	26.48
0.117	425.79	190.53	33.4
0.74	758.42	95.79	10.34
0.416	259.47	162.11	5.73
0.189	384.21	162.11	26.48
0.515	384.21	95.79	14.96
0.518	675.26	152.63	21.87
0.362	342.63	152.63	10.34
0.755	592.11	67.37	14.96
0.106	176.32	171.58	12.65
0.809	425.79	38.95	31.1
0.548	467.37	105.26	14.96
0.424	217.89	124.21	5.73
0.69	800.0	114.74	26.48
0.915	758.42	29.47	24.18
0.079	176.32	200.0	12.65
0.349	301.05	95.79	38.01
0.63	425.79	76.84	14.96
0.082	93.16	190.53	8.04
0.849	550.53	38.95	8.04
0.722	467.37	67.37	8.04
0.028	259.47	152.63	38.01
0.0	10.0	200.0	12.65
0.471	716.84	171.58	33.4
0.506	550.53	162.11	10.34
0.284	467.37	162.11	26.48
0.766	425.79	48.42	10.34
0.434	467.37	152.63	12.65
0.821	675.26	124.21	3.43
0.502	800.0	200.0	17.26
0.776	134.74	20.0	33.4
0.739	467.37	57.89	33.4
0.0	10.0	181.05	12.65
0.0	10.0	76.84	40.32
0.442	301.05	86.32	21.87
0.37	93.16	114.74	3.43
0.402	675.26	181.05	35.71
0.752	592.11	86.32	5.73
0.974	800.0	162.11	1.12
0.535	176.32	105.26	3.43
0.05	51.58	76.84	14.96
0.139	217.89	181.05	12.65
0.618	467.37	105.26	8.04
0.538	467.37	105.26	17.26
0.52	800.0	190.53	17.26
0.844	675.26	48.42	38.01
0.541	425.79	95.79	17.26
0.0	93.16	152.63	38.01
0.301	384.21	124.21	40.32
0.311	10.0	171.58	1.12
0.152	259.47	124.21	26.48
0.279	384.21	152.63	19.57
0.787	758.42	95.79	5.73
0.524	592.11	133.68	19.57
0.861	758.42	48.42	17.26
0.136	217.89	105.26	31.1
0.898	633.68	29.47	26.48
0.689	800.0	114.74	38.01
0.688	633.68	143.16	5.73
0.847	550.53	38.95	12.65
0.611	467.37	86.32	21.87
0.931	384.21	181.05	1.12
0.093	217.89	190.53	14.96
0.728	716.84	133.68	5.73
